t = kBT/eps0,T [K],u/eps0,c/kB,s/kB,p_minus,p_zero,p_plus
0.001,0.23209036243100162,-1.0,1000000.0,1.3815510557964273e-297,1.0,0.0,0.0
0.004002002002002002,0.9288260950942386,-1.0,62437.484375003914,7.558161888588235e-107,1.0,3.0247779009585347e-109,9.149281350127119e-218
0.007004004004004004,1.6255618277574757,-1.0,20384.836319630565,1.4062177717886875e-60,1.0,9.849154904109557e-63,9.700585232514533e-125
0.010006006006006006,2.322297560420713,-1.0,9987.998800960962,3.947836396131574e-42,1.0,3.9502074690421637e-44,1.5604139048476497e-87
0.013008008008008009,3.0190332930839503,-1.0,5909.876545585872,3.155641031921479e-32,1.0,4.104860381363326e-34,1.6849878750486265e-67
0.016010010010010012,3.7157690257471874,-1.0,3901.366882782368,4.6684667490769737e-26,1.0,7.474219938412125e-28,5.586396368775735e-55
0.01901201201201201,4.412504758410424,-1.0,2766.5838663319523,7.547607573373747e-22,1.0,1.434952058469345e-23,2.0590874101054103e-46
0.022014014014014014,5.1092404910736615,-1.0,2063.485981409821,8.495898198951984e-19,1.0,1.870288220133654e-20,3.4979780263707116e-40
0.025016016016016017,5.805976223736899,-1.0,1597.9519182865974,1.7423063530870448e-16,1.0,4.358556363363197e-18,1.8997013572613818e-35
0.02801801801801802,6.502711956400136,-0.9999999999999998,1273.8702039887933,1.149453796254439e-14,0.9999999999999998,3.1583292200176745e-16,9.975043462017454e-32
0.031020020020020023,7.199447689063374,-0.99999999999999,1039.239995763883,3.3202480491673614e-13,0.99999999999999,9.989463831605162e-15,9.978938764294866e-29
0.03402202202202202,7.89618342172661,-0.9999999999998281,863.9323913714857,5.220111918878598e-12,0.9999999999998281,1.717516520779477e-13,2.949862999150946e-26
0.03702402402402402,8.592919154389845,-0.9999999999981382,729.512540379797,5.214748526982341e-11,0.9999999999981382,1.8617767899751376e-12,3.466212815696581e-24
0.04002602602602603,9.289654887053086,-0.9999999999858844,624.1874797904961,3.667748115907909e-10,0.9999999999858844,1.4115546877923756e-11,1.9924866366567559e-22
0.04302802802802803,9.986390619716321,-0.999999999919331,540.1285259224109,1.9554728939938484e-09,0.999999999919331,8.066911332231488e-11,6.507505844733433e-21
0.046030030030030034,10.683126352379558,-0.9999999996327389,471.97335760409624,8.345991487121519e-09,0.9999999996327389,3.672611985685775e-10,1.3488078802356458e-19
0.04903203203203203,11.379862085042795,-0.9999999986112073,415.94912695053534,2.9712989892373654e-08,0.9999999986112071,1.3887929323420884e-09,1.9287458116019647e-18
0.05203403403403403,12.076597817706032,-0.9999999954955088,369.3388652666271,9.107266184135384e-08,0.9999999954955088,4.5044910950344145e-09,2.0290440116642453e-17
0.05503603603603604,12.77333355036927,-0.999999987149887,330.1457557341212,2.4633555177319754e-07,0.9999999871498871,1.2850112694974637e-08,1.6512539839542832e-16
0.05803803803803804,13.470069283032506,-0.9999999671094122,296.8756535123536,5.995980247236385e-07,0.9999999671094133,3.289058564956003e-08,1.0817906599517738e-15
0.061040040040040044,14.166805015695743,-0.9999999232482035,268.39254408318203,1.3341526124883883e-06,0.9999999232482094,7.675178455361013e-08,5.890836884296066e-15
0.06404204204204204,14.863540748358982,-0.9999998345740877,243.82026612564314,2.748508932875722e-06,0.999999834574115,1.654258575430445e-07,2.7365718870849913e-14
0.06704404404404404,15.560276481022218,-0.9999996671479361,222.47431778369267,5.297529613110263e-06,0.9999996671480469,3.328518424067841e-07,1.1079038587038698e-13
0.07004604604604604,16.257012213685456,-0.9999993692288258,203.8136643944987,9.635864193544308e-06,0.9999993692292237,6.307703784770892e-07,3.9787152132985876e-13
0.07304804804804804,16.953747946348688,-0.9999988658403738,187.4061135222646,1.6660372983423877e-05,0.9999988658416601,1.13415705367487e-06,1.286313681283851e-12
0.07605005005005006,17.65048367901193,-0.9999980530243106,172.9030613145691,2.7548215191358064e-05,0.9999980530281012,1.946968108215454e-06,3.7906921947792434e-12
0.07905205205205205,18.347219411675166,-0.9999967920863759,160.02081959318312,4.378767257935014e-05,0.9999967920966666,3.2078930427193785e-06,1.029061078481203e-11
0.08205405405405405,19.0439551443384,-0.9999949041454306,148.52663429333472,6.719947105529294e-05,0.9999949041713979,5.095802634763747e-06,2.5967336817562827e-11
0.08505605605605605,19.74069087700164,-0.9999921652730867,138.22809493407826,9.994720739078789e-05,0.9999921653344681,7.83460415034152e-06,6.13815030960952e-11
0.08805805805805805,20.437426609664875,-0.9999883024652443,128.9650266635583,0.00014453635711378636,0.9999883026020717,1.169726110079367e-05,1.3682751778606386e-10
0.09106006006006007,21.134162342328114,-0.9999829906269474,120.60322133895967,0.0002038021323565832,0.9999829909162514,1.700879444463472e-05,2.89304009255959e-10
0.09406206206206207,21.830898074991353,-0.9999758506860446,113.0295458837578,0.000280887110268799,0.9999758512691916,2.4148147661171576e-05,5.831471177285138e-10
0.09706406406406407,22.52763380765459,-0.9999664488859816,106.14809263449288,0.0003792100323708276,0.9999664500115456,3.3548862890203136e-05,1.125563963883642e-09
0.10006606606606606,23.224369540317827,-0.9999542972487648,99.87712551041423,0.0005024274786881982,0.99995429933722,4.569857432483369e-05,2.0884551391063925e-09
0.10306806806806806,23.92110527298106,-0.9999388551489508,94.146639394958,0.0006543902623632094,0.9999388588869579,6.113737503498677e-05,3.738007172087684e-09
0.10607007007007008,24.6178410056443,-0.9999195319001366,88.89639594940593,0.0008390963965267175,0.9999195383736891,8.045515275830125e-05,6.4735524779219715e-09
0.10907207207207208,25.31457673830754,-0.9998956902271743,84.07433247539016,0.0010606423862261278,0.9998957011042996,0.00010428801857528365,1.0877125290514904e-08
0.11207407407407408,26.011312470970772,-0.9998666504796623,79.63526501723364,0.001323174425011807,0.999866668254647,0.0001333139703684235,1.7774984665121928e-08
0.11507607607607608,26.70804820363401,-0.9998316954340014,75.53982514491605,0.0016308408565078054,0.9998317237461356,0.0001682479417301196,2.831213415629644e-08
0.11807807807807807,27.40478393629725,-0.9997900755308625,71.75358352936725,0.001987747019706534,0.9997901195714155,0.00020983638803146238,4.4040552992227556e-08
0.12108008008008009,28.101519668960485,-0.9997410144007383,68.24632374675315,0.0023979133515253095,0.9997410814222195,0.0002588515562991489,6.702148130511172e-08
0.12408208208208209,28.798255401623724,-0.999683714540685,64.99143760687738,0.0028652373852394095,0.9996838144823765,0.00031608557593196056,9.994169142767542e-08
0.1270840840840841,29.49499113428696,-0.9996173630189612,61.96541932593702,0.0033934600681792795,0.9996175092622104,0.0003823444945406486,1.4624324919382499e-07
0.1300860860860861,30.191726866950198,-0.999541137099771,59.14744051553756,0.0039861366322544705,0.9995413473656153,0.0004584423685403492,2.1026584425627466e-07
0.13308808808808809,30.888462599613433,-0.9994542096966961,56.51899157490727,0.004646612089196288,0.9994545070970619,0.0005451955025724391,2.974003658140973e-07
0.1360900900900901,31.585198332276672,-0.9993557545797478,54.0635779003251,0.0053780012894416585,0.9993561688317844,0.0006434169161792589,4.142520363981574e-07
0.13909209209209208,32.281934064939904,-0.9992449512767907,51.76646154985133,0.006183173378156484,0.9992455200878955,0.0007539111009996845,5.688111047628822e-07
0.1420940940940941,32.978669797603146,-0.9991209896247795,49.614440761090364,0.007064740401987992,0.9991217602536285,0.0008774691175222873,7.706288490903134e-07
0.14509609609609608,33.675405530266374,-0.998983073939675,47.595661119466705,0.008025049762885329,0.9989841049361345,0.0010148640674058937,1.030996459525729e-06
0.1480980980980981,34.37214126292962,-0.9988304267857694,45.69945329371145,0.009066180177760326,0.9988317899100263,0.001166846965716834,1.3631242569133967e-06
0.1511001001001001,35.06887699559286,-0.9986622923354699,43.91619315459075,0.010189940781740821,0.9986640746541317,0.0013341430272067701,1.7823186617190491e-06
0.1541021021021021,35.765612728256094,-0.9984779393193358,42.237180818963125,0.01139787300532585,0.9984802454736859,0.00151744837196402,2.3061543500881806e-06
0.1571041041041041,36.46234846091933,-0.9982766635734025,40.65453575006333,0.012691254859121386,0.9982796182125198,0.0017174271483629733,2.9546391172600852e-06
0.1601061061061061,37.159084193582565,-0.9980577901966655,39.1611055244816,0.014071107271550629,0.9980615405657706,0.00193470906512448,3.7503691050483632e-06
0.1631081081081081,37.8558199262458,-0.9978206753361593,37.7503862685223,0.015538202142814072,0.997825394008391,0.0021698873193774027,4.7186722317023495e-06
0.16611011011011012,38.55255565890904,-0.9975647076204809,36.41645308866967,0.01709307180060198,0.9975705953583615,0.002423516903758208,5.8877378805375014e-06
0.1691121121121121,39.24929139157228,-0.9972893092650226,35.153899086321424,0.018736019568076738,0.9972965979961721,0.0026961132726784336,7.288731149507756e-06
0.17211411411411412,39.94602712423551,-0.9969939368737355,33.957781766525365,0.02046713118118765,0.9970028927639644,0.0029881513458067522,8.955890228856753e-06
0.1751161161161161,40.64276285689875,-0.9966780819630632,32.823575832730604,0.022286286819470504,0.9966890085688133,0.003300064825436589,1.0926605750094343e-05
0.17811811811811812,41.33949858956199,-0.9963412712339083,31.74713151138989,0.024193173541305603,0.9963545127151378,0.0036322458036327655,1.324148122946258e-05
0.18112012012012013,42.03623432222523,-0.995983066617216,30.7246376771233,0.02618729794060236,0.9959990109912223,0.003985044634771451,1.594437400627166e-05
0.18412212212212212,42.73297005488846,-0.9956030651180919,29.752589155507113,0.028267998866593907,0.9956221475344373,0.004358770049217344,1.908241634540077e-05
0.18712412412412413,43.4297057875517,-0.9952008984824015,28.827757669975174,0.03043446007157676,0.9952236044990307,0.004753689484340263,2.270601662919984e-05
