i,j,x,p,F
0,71,-10.0,-2.8643216080402008,-21.356783919597994
0,72,-10.0,-2.7638190954773867,-22.36180904522613
0,73,-10.0,-2.6633165829145726,-23.366834170854275
0,74,-10.0,-2.5628140703517586,-24.371859296482413
0,75,-10.0,-2.4623115577889445,-25.376884422110557
0,76,-10.0,-2.3618090452261304,-26.381909547738694
0,77,-10.0,-2.2613065326633164,-27.386934673366838
0,78,-10.0,-2.1608040201005023,-28.391959798994975
0,79,-10.0,-2.0603015075376883,-29.39698492462312
0,80,-10.0,-1.9597989949748733,-30.402010050251267
0,81,-10.0,-1.8592964824120592,-31.407035175879408
0,82,-10.0,-1.7587939698492452,-32.41206030150755
0,83,-10.0,-1.6582914572864311,-33.41708542713569
0,84,-10.0,-1.557788944723617,-34.422110552763826
0,85,-10.0,-1.457286432160803,-35.42713567839197
0,86,-10.0,-1.356783919597989,-36.432160804020114
0,87,-10.0,-1.2562814070351749,-37.43718592964825
0,88,-10.0,-1.1557788944723608,-38.44221105527639
0,89,-10.0,-1.0552763819095468,-39.44723618090453
0,90,-10.0,-0.9547738693467327,-40.45226130653268
0,91,-10.0,-0.8542713567839186,-41.457286432160814
0,92,-10.0,-0.7537688442211046,-42.46231155778895
0,93,-10.0,-0.6532663316582905,-43.467336683417095
0,94,-10.0,-0.5527638190954764,-44.47236180904524
0,95,-10.0,-0.4522613065326624,-45.477386934673376
0,96,-10.0,-0.3517587939698483,-46.48241206030151
0,97,-10.0,-0.25125628140703427,-47.48743718592966
0,98,-10.0,-0.1507537688442202,-48.4924623115578
0,99,-10.0,-0.05025125628140614,-49.49748743718594
0,100,-10.0,0.05025125628140792,-50.502512562814076
0,101,-10.0,0.15075376884422198,-51.50753768844222
0,102,-10.0,0.25125628140703604,-52.512562814070364
0,103,-10.0,0.3517587939698501,-53.5175879396985
0,104,-10.0,0.45226130653266416,-54.52261306532664
0,105,-10.0,0.5527638190954782,-55.52763819095478
0,106,-10.0,0.6532663316582923,-56.532663316582926
0,107,-10.0,0.7537688442211063,-57.53768844221106
0,108,-10.0,0.8542713567839204,-58.5427135678392
0,109,-10.0,0.9547738693467345,-59.547738693467345
0,110,-10.0,1.0552763819095485,-60.55276381909549
0,111,-10.0,1.1557788944723626,-61.557788944723626
0,112,-10.0,1.2562814070351767,-62.56281407035176
0,113,-10.0,1.3567839195979907,-63.56783919597991
