x,p,F
-10.0,-10.0,50.0
-9.899497487437186,-10.0,49.994949622484285
-9.798994974874372,-10.0,49.97979848993713
-9.698492462311558,-10.0,49.954546602358526
-9.597989949748744,-10.0,49.91919395974849
-9.49748743718593,-10.0,49.873740562107024
-9.396984924623116,-10.0,49.8181864094341
-9.296482412060302,-10.0,49.75253150172975
-9.195979899497488,-10.0,49.67677583899396
-9.095477386934673,-10.0,49.590919421226744
-8.99497487437186,-10.0,49.494962248428074
-8.894472361809045,-10.0,49.38890432059796
-8.793969849246231,-10.0,49.27274563773642
-8.693467336683417,-10.0,49.146486199843444
-8.592964824120603,-10.0,49.01012600691901
-8.492462311557789,-10.0,48.86366505896316
-8.391959798994975,-10.0,48.70710335597586
-8.291457286432161,-10.0,48.540440897957126
-8.190954773869347,-10.0,48.36367768490695
-8.090452261306533,-10.0,48.17681371682533
-7.989949748743719,-10.0,47.97984899371228
-7.889447236180905,-10.0,47.772783515567795
-7.788944723618091,-10.0,47.55561728239185
-7.688442211055277,-10.0,47.32835029418449
-7.5879396984924625,-10.0,47.09098255094568
-7.4874371859296485,-10.0,46.843514052675445
-7.386934673366834,-10.0,46.58594479937376
-7.28643216080402,-10.0,46.31827479104062
-7.185929648241206,-10.0,46.040504027676064
-7.085427135678392,-10.0,45.752632509280076
-6.984924623115578,-10.0,45.45466023585263
-6.884422110552764,-10.0,45.14658720739375
-6.78391959798995,-10.0,44.82841342390344
-6.683417085427136,-10.0,44.50013888538169
-6.582914572864322,-10.0,44.161763591828496
-6.482412060301508,-10.0,43.81328754324386
-6.381909547738694,-10.0,43.454710739627785
-6.28140703517588,-10.0,43.08603318098028
-6.180904522613066,-10.0,42.70725486730133
-6.080402010050252,-10.0,42.31837579859094
-5.979899497487437,-10.0,41.919395974849124
-5.879396984924623,-10.0,41.51031539607585
-5.7788944723618085,-10.0,41.09113406227115
-5.6783919597989945,-10.0,40.661851973435006
-5.57788944723618,-10.0,40.222469129567436
-5.477386934673366,-10.0,39.772985530668414
-5.376884422110552,-10.0,39.31340117673796
-5.276381909547738,-10.0,38.843716067776064
-5.175879396984924,-10.0,38.36393020378273
-5.07537688442211,-10.0,37.874043584757956
-4.974874371859296,-10.0,37.37405621070175
-4.874371859296482,-10.0,36.8639680816141
-4.773869346733668,-10.0,36.34377919749501
-4.673366834170854,-10.0,35.813489558344486
-4.57286432160804,-10.0,35.27309916416252
-4.472361809045226,-10.0,34.72260801494912
-4.371859296482412,-10.0,34.16201611070427
-4.271356783919598,-10.0,33.59132345142799
-4.1708542713567835,-10.0,33.010530037120276
-4.0703517587939695,-10.0,32.41963586778111
-3.9698492462311554,-10.0,31.81864094341052
-3.8693467336683414,-10.0,31.20754526400848
-3.7688442211055273,-10.0,30.58634882957501
-3.6683417085427132,-10.0,29.955051640110096
-3.567839195979899,-10.0,29.313653695613745
-3.467336683417085,-10.0,28.662154996085953
-3.366834170854271,-10.0,28.00055554152673
-3.266331658291457,-10.0,27.328855331936058
-3.165829145728643,-10.0,26.647054367313956
-3.065326633165829,-10.0,25.95515264766041
-2.964824120603015,-10.0,25.25315017297543
-2.8643216080402008,-10.0,24.541046943259005
-2.7638190954773867,-10.0,23.818842958511148
-2.6633165829145726,-10.0,23.086538218731846
-2.5628140703517586,-10.0,22.344132723921113
-2.4623115577889445,-10.0,21.591626474078936
-2.3618090452261304,-10.0,20.829019469205324
-2.2613065326633164,-10.0,20.056311709300267
-2.1608040201005023,-10.0,19.27350319436378
-2.0603015075376883,-10.0,18.480593924395844
-1.9597989949748733,-10.0,17.67758389939647
-1.8592964824120592,-10.0,16.864473119365663
-1.7587939698492452,-10.0,16.041261584303417
-1.6582914572864311,-10.0,15.207949294209733
-1.557788944723617,-10.0,14.36453624908461
-1.457286432160803,-10.0,13.511022448928049
-1.356783919597989,-10.0,12.647407893740048
-1.2562814070351749,-10.0,11.77369258352061
-1.1557788944723608,-10.0,10.889876518269732
-1.0552763819095468,-10.0,9.995959697987416
-0.9547738693467327,-10.0,9.091942122673661
-0.8542713567839186,-10.0,8.177823792328468
-0.7537688442211046,-10.0,7.253604706951836
-0.6532663316582905,-10.0,6.319284866543765
-0.5527638190954764,-10.0,5.374864271104256
-0.4522613065326624,-10.0,4.420342920633308
-0.3517587939698483,-10.0,3.455720815130922
-0.25125628140703427,-10.0,2.4809979545970973
-0.1507537688442202,-10.0,1.4961743390318338
-0.05025125628140614,-10.0,0.5012499684351317
0.05025125628140792,-10.0,-0.503775157193009
0.15075376884422198,-10.0,-1.5189010378525885
0.25125628140703604,-10.0,-2.5441276735436062
0.3517587939698501,-10.0,-3.579455064266063
0.45226130653266416,-10.0,-4.6248832100199575
0.5527638190954782,-10.0,-5.680412110805292
0.6532663316582923,-10.0,-6.746041766622064
0.7537688442211063,-10.0,-7.821772177470275
0.8542713567839204,-10.0,-8.907603343349924
0.9547738693467345,-10.0,-10.003535264261012
1.0552763819095485,-10.0,-11.109567940203538
1.1557788944723626,-10.0,-12.225701371177504
1.2562814070351767,-10.0,-13.351935557182909
1.3567839195979907,-10.0,-14.48827049821975
1.4572864321608048,-10.0,-15.634706194288032
1.5577889447236188,-10.0,-16.79124264538775
1.658291457286433,-10.0,-17.95787985151891
1.758793969849247,-10.0,-19.134617812681505
1.859296482412061,-10.0,-20.321456528875544
1.959798994974875,-10.0,-21.518396000101017
2.060301507537689,-10.0,-22.725436226357928
2.160804020100503,-10.0,-23.94257720764628
2.2613065326633173,-10.0,-25.16981894396607
2.3618090452261313,-10.0,-26.4071614353173
2.4623115577889454,-10.0,-27.654604681699965
2.5628140703517595,-10.0,-28.912148683114072
2.6633165829145735,-10.0,-30.179793439559617
2.7638190954773876,-10.0,-31.457538951036597
2.8643216080402016,-10.0,-32.74538521754502
2.9648241206030157,-10.0,-34.043332239084876
3.0653266331658298,-10.0,-35.351380015656176
3.165829145728644,-10.0,-36.66952854725891
3.266331658291458,-10.0,-37.99777783389309
3.366834170854272,-10.0,-39.3361278755587
3.467336683417086,-10.0,-40.68457867225576
3.5678391959799,-10.0,-42.04313022398425
3.668341708542714,-10.0,-43.411782530744176
3.768844221105528,-10.0,-44.79053559253555
3.8693467336683423,-10.0,-46.179389409358365
3.9698492462311563,-10.0,-47.578343981212605
4.07035175879397,-10.0,-48.98739930809828
4.170854271356784,-10.0,-50.40655539001541
4.2713567839195985,-10.0,-51.83581222696398
4.371859296482413,-10.0,-53.27516981894397
4.472361809045227,-10.0,-54.72462816595541
4.572864321608041,-10.0,-56.18418726799829
4.673366834170855,-10.0,-57.65384712507261
4.773869346733669,-10.0,-59.13360773717836
4.874371859296483,-10.0,-60.62346910431555
4.974874371859297,-10.0,-62.123431226484186
5.075376884422111,-10.0,-63.63349410368426
5.175879396984925,-10.0,-65.15365773591577
5.276381909547739,-10.0,-66.68392212317872
5.376884422110553,-10.0,-68.2242872654731
5.477386934673367,-10.0,-69.77475316279893
5.577889447236181,-10.0,-71.3353198151562
5.678391959798995,-10.0,-72.9059872225449
5.778894472361809,-10.0,-74.48675538496504
5.8793969849246235,-10.0,-76.07762430241661
5.9798994974874375,-10.0,-77.67859397489963
6.080402010050253,-10.0,-79.28966440241412
6.180904522613066,-10.0,-80.91083558495998
6.2814070351758815,-10.0,-82.54210752253735
6.381909547738694,-10.0,-84.18348021514609
6.48241206030151,-10.0,-85.83495366278633
6.582914572864322,-10.0,-87.49652786545795
6.683417085427138,-10.0,-89.16820282316107
6.78391959798995,-10.0,-90.84997853589556
6.884422110552766,-10.0,-92.54185500366155
6.984924623115578,-10.0,-94.24383222645892
7.085427135678394,-10.0,-95.9559102042878
7.185929648241206,-10.0,-97.67808893714806
7.286432160804022,-10.0,-99.41036842503982
7.386934673366834,-10.0,-101.15274866796294
7.48743718592965,-10.0,-102.90522966591756
7.5879396984924625,-10.0,-104.66781141890357
7.688442211055278,-10.0,-106.44049392692106
7.788944723618091,-10.0,-108.22327718996995
7.8894472361809065,-10.0,-110.01616120805033
7.989949748743719,-10.0,-111.8191459811621
8.090452261306535,-10.0,-113.63223150930537
8.190954773869347,-10.0,-115.45541779248
8.291457286432163,-10.0,-117.28870483068613
8.391959798994975,-10.0,-119.13209262392364
8.49246231155779,-10.0,-120.98558117219265
8.592964824120603,-10.0,-122.84917047549304
8.693467336683419,-10.0,-124.72286053382494
8.793969849246231,-10.0,-126.6066513471882
8.894472361809047,-10.0,-128.50054291558297
8.99497487437186,-10.0,-130.40453523900914
9.095477386934675,-10.0,-132.31862831746676
9.195979899497488,-10.0,-134.2428221509558
9.296482412060303,-10.0,-136.1771167394763
9.396984924623116,-10.0,-138.1215120830282
9.497487437185931,-10.0,-140.0760081816116
9.597989949748744,-10.0,-142.04060503522638
9.69849246231156,-10.0,-144.01530264387267
9.798994974874372,-10.0,-146.0001010075503
9.899497487437188,-10.0,-147.99500012625947
10.0,-10.0,-150.0
-10.0,-9.899497487437186,48.99497487437186
-9.899497487437186,-9.899497487437186,49.00002525188758
-9.798994974874372,-9.899497487437186,48.994974874371856
-9.698492462311558,-9.899497487437186,48.97982374182471
-9.597989949748744,-9.899497487437186,48.954571854246105
-9.49748743718593,-9.899497487437186,48.91921921163607
-9.396984924623116,-9.899497487437186,48.8737658139946
-9.296482412060302,-9.899497487437186,48.81821166132168
-9.195979899497488,-9.899497487437186,48.75255675361733
-9.095477386934673,-9.899497487437186,48.67680109088154
-8.99497487437186,-9.899497487437186,48.590944673114315
-8.894472361809045,-9.899497487437186,48.494987500315645
-8.793969849246231,-9.899497487437186,48.38892957248554
-8.693467336683417,-9.899497487437186,48.272770889624006
-8.592964824120603,-9.899497487437186,48.146511451731016
-8.492462311557789,-9.899497487437186,48.010151258806594
-8.391959798994975,-9.899497487437186,47.86369031085074
-8.291457286432161,-9.899497487437186,47.70712860786344
-8.190954773869347,-9.899497487437186,47.5404661498447
-8.090452261306533,-9.899497487437186,47.36370293679453
-7.989949748743719,-9.899497487437186,47.176838968712914
-7.889447236180905,-9.899497487437186,46.97987424559986
-7.788944723618091,-9.899497487437186,46.77280876745536
