i,j,x,p,F
0,0,-10.0,-10.0,50.0
0,1,-9.899497487437186,-10.0,49.994949622484285
0,2,-9.798994974874372,-10.0,49.97979848993713
0,3,-9.698492462311558,-10.0,49.954546602358526
0,4,-9.597989949748744,-10.0,49.91919395974849
0,5,-9.49748743718593,-10.0,49.873740562107024
0,6,-9.396984924623116,-10.0,49.8181864094341
0,7,-9.296482412060302,-10.0,49.75253150172975
0,8,-9.195979899497488,-10.0,49.67677583899396
0,9,-9.095477386934673,-10.0,49.590919421226744
0,10,-8.99497487437186,-10.0,49.494962248428074
0,11,-8.894472361809045,-10.0,49.38890432059796
0,12,-8.793969849246231,-10.0,49.27274563773642
0,13,-8.693467336683417,-10.0,49.146486199843444
0,14,-8.592964824120603,-10.0,49.01012600691901
0,15,-8.492462311557789,-10.0,48.86366505896316
0,16,-8.391959798994975,-10.0,48.70710335597586
0,17,-8.291457286432161,-10.0,48.540440897957126
0,18,-8.190954773869347,-10.0,48.36367768490695
0,19,-8.090452261306533,-10.0,48.17681371682533
0,20,-7.989949748743719,-10.0,47.97984899371228
0,21,-7.889447236180905,-10.0,47.772783515567795
0,22,-7.788944723618091,-10.0,47.55561728239185
0,23,-7.688442211055277,-10.0,47.32835029418449
0,24,-7.5879396984924625,-10.0,47.09098255094568
0,25,-7.4874371859296485,-10.0,46.843514052675445
0,26,-7.386934673366834,-10.0,46.58594479937376
0,27,-7.28643216080402,-10.0,46.31827479104062
0,28,-7.185929648241206,-10.0,46.040504027676064
0,29,-7.085427135678392,-10.0,45.752632509280076
0,30,-6.984924623115578,-10.0,45.45466023585263
0,31,-6.884422110552764,-10.0,45.14658720739375
0,32,-6.78391959798995,-10.0,44.82841342390344
0,33,-6.683417085427136,-10.0,44.50013888538169
0,34,-6.582914572864322,-10.0,44.161763591828496
0,35,-6.482412060301508,-10.0,43.81328754324386
0,36,-6.381909547738694,-10.0,43.454710739627785
0,37,-6.28140703517588,-10.0,43.08603318098028
0,38,-6.180904522613066,-10.0,42.70725486730133
0,39,-6.080402010050252,-10.0,42.31837579859094
0,40,-5.979899497487437,-10.0,41.919395974849124
0,41,-5.879396984924623,-10.0,41.51031539607585
0,42,-5.7788944723618085,-10.0,41.09113406227115
0,43,-5.6783919597989945,-10.0,40.661851973435006
0,44,-5.57788944723618,-10.0,40.222469129567436
0,45,-5.477386934673366,-10.0,39.772985530668414
0,46,-5.376884422110552,-10.0,39.31340117673796
0,47,-5.276381909547738,-10.0,38.843716067776064
0,48,-5.175879396984924,-10.0,38.36393020378273
0,49,-5.07537688442211,-10.0,37.874043584757956
0,50,-4.974874371859296,-10.0,37.37405621070175
0,51,-4.874371859296482,-10.0,36.8639680816141
0,52,-4.773869346733668,-10.0,36.34377919749501
0,53,-4.673366834170854,-10.0,35.813489558344486
0,54,-4.57286432160804,-10.0,35.27309916416252
0,55,-4.472361809045226,-10.0,34.72260801494912
0,56,-4.371859296482412,-10.0,34.16201611070427
0,57,-4.271356783919598,-10.0,33.59132345142799
0,58,-4.1708542713567835,-10.0,33.010530037120276
0,59,-4.0703517587939695,-10.0,32.41963586778111
0,60,-3.9698492462311554,-10.0,31.81864094341052
0,61,-3.8693467336683414,-10.0,31.20754526400848
0,62,-3.7688442211055273,-10.0,30.58634882957501
0,63,-3.6683417085427132,-10.0,29.955051640110096
0,64,-3.567839195979899,-10.0,29.313653695613745
0,65,-3.467336683417085,-10.0,28.662154996085953
0,66,-3.366834170854271,-10.0,28.00055554152673
0,67,-3.266331658291457,-10.0,27.328855331936058
0,68,-3.165829145728643,-10.0,26.647054367313956
0,69,-3.065326633165829,-10.0,25.95515264766041
0,70,-2.964824120603015,-10.0,25.25315017297543
0,71,-2.8643216080402008,-10.0,24.541046943259005
0,72,-2.7638190954773867,-10.0,23.818842958511148
0,73,-2.6633165829145726,-10.0,23.086538218731846
0,74,-2.5628140703517586,-10.0,22.344132723921113
0,75,-2.4623115577889445,-10.0,21.591626474078936
0,76,-2.3618090452261304,-10.0,20.829019469205324
0,77,-2.2613065326633164,-10.0,20.056311709300267
0,78,-2.1608040201005023,-10.0,19.27350319436378
0,79,-2.0603015075376883,-10.0,18.480593924395844
0,80,-1.9597989949748733,-10.0,17.67758389939647
0,81,-1.8592964824120592,-10.0,16.864473119365663
0,82,-1.7587939698492452,-10.0,16.041261584303417
0,83,-1.6582914572864311,-10.0,15.207949294209733
0,84,-1.557788944723617,-10.0,14.36453624908461
0,85,-1.457286432160803,-10.0,13.511022448928049
0,86,-1.356783919597989,-10.0,12.647407893740048
0,87,-1.2562814070351749,-10.0,11.77369258352061
0,88,-1.1557788944723608,-10.0,10.889876518269732
0,89,-1.0552763819095468,-10.0,9.995959697987416
0,90,-0.9547738693467327,-10.0,9.091942122673661
0,91,-0.8542713567839186,-10.0,8.177823792328468
0,92,-0.7537688442211046,-10.0,7.253604706951836
0,93,-0.6532663316582905,-10.0,6.319284866543765
0,94,-0.5527638190954764,-10.0,5.374864271104256
0,95,-0.4522613065326624,-10.0,4.420342920633308
0,96,-0.3517587939698483,-10.0,3.455720815130922
0,97,-0.25125628140703427,-10.0,2.4809979545970973
0,98,-0.1507537688442202,-10.0,1.4961743390318338
0,99,-0.05025125628140614,-10.0,0.5012499684351317
0,100,0.05025125628140792,-10.0,-0.503775157193009
0,101,0.15075376884422198,-10.0,-1.5189010378525885
0,102,0.25125628140703604,-10.0,-2.5441276735436062
0,103,0.3517587939698501,-10.0,-3.579455064266063
0,104,0.45226130653266416,-10.0,-4.6248832100199575
0,105,0.5527638190954782,-10.0,-5.680412110805292
0,106,0.6532663316582923,-10.0,-6.746041766622064
0,107,0.7537688442211063,-10.0,-7.821772177470275
0,108,0.8542713567839204,-10.0,-8.907603343349924
0,109,0.9547738693467345,-10.0,-10.003535264261012
0,110,1.0552763819095485,-10.0,-11.109567940203538
0,111,1.1557788944723626,-10.0,-12.225701371177504
0,112,1.2562814070351767,-10.0,-13.351935557182909
0,113,1.3567839195979907,-10.0,-14.48827049821975
0,114,1.4572864321608048,-10.0,-15.634706194288032
0,115,1.5577889447236188,-10.0,-16.79124264538775
0,116,1.658291457286433,-10.0,-17.95787985151891
0,117,1.758793969849247,-10.0,-19.134617812681505
0,118,1.859296482412061,-10.0,-20.321456528875544
0,119,1.959798994974875,-10.0,-21.518396000101017
0,120,2.060301507537689,-10.0,-22.725436226357928
0,121,2.160804020100503,-10.0,-23.94257720764628
0,122,2.2613065326633173,-10.0,-25.16981894396607
0,123,2.3618090452261313,-10.0,-26.4071614353173
0,124,2.4623115577889454,-10.0,-27.654604681699965
0,125,2.5628140703517595,-10.0,-28.912148683114072
0,126,2.6633165829145735,-10.0,-30.179793439559617
0,127,2.7638190954773876,-10.0,-31.457538951036597
0,128,2.8643216080402016,-10.0,-32.74538521754502
0,129,2.9648241206030157,-10.0,-34.043332239084876
0,130,3.0653266331658298,-10.0,-35.351380015656176
0,131,3.165829145728644,-10.0,-36.66952854725891
0,132,3.266331658291458,-10.0,-37.99777783389309
0,133,3.366834170854272,-10.0,-39.3361278755587
0,134,3.467336683417086,-10.0,-40.68457867225576
0,135,3.5678391959799,-10.0,-42.04313022398425
